iter	Passed	Remaining
0	2	2159
1	4	2480
2	6	2308
3	9	2304
4	11	2256
5	13	2233
6	15	2226
7	17	2230
8	20	2212
9	21	2168
10	24	2173
11	26	2161
12	28	2159
13	30	2176
14	33	2191
15	35	2213
16	38	2203
17	40	2187
18	42	2184
19	44	2182
20	46	2179
21	48	2178
22	67	2862
23	69	2825
24	71	2796
25	73	2763
26	75	2738
27	78	2719
28	80	2696
29	82	2667
30	84	2640
31	86	2601
32	88	2582
33	90	2569
34	92	2552
35	94	2531
36	96	2523
37	98	2501
38	100	2486
39	103	2477
40	105	2464
41	107	2454
42	109	2446
43	112	2439
44	114	2422
45	117	2428
46	119	2414
47	121	2401
48	123	2394
49	125	2384
50	127	2375
51	129	2368
52	131	2357
53	133	2345
54	136	2348
55	138	2338
56	140	2327
57	142	2322
58	144	2308
59	146	2296
60	148	2291
61	151	2292
62	152	2275
63	154	2265
64	157	2258
65	158	2246
66	160	2239
67	162	2226
68	164	2223
69	166	2218
70	169	2214
71	171	2213
72	173	2197
73	174	2189
74	176	2181
75	178	2173
76	181	2170
77	183	2168
78	185	2163
79	187	2159
80	190	2160
81	192	2155
82	194	2150
83	196	2146
84	199	2144
85	201	2141
86	203	2134
87	204	2123
88	207	2119
89	209	2116
90	211	2113
91	213	2110
92	216	2107
93	218	2106
94	220	2103
95	222	2099
96	224	2090
97	227	2094
98	229	2091
99	232	2088
100	234	2086
101	235	2076
102	238	2073
103	240	2068
104	242	2063
105	244	2059
106	246	2054
107	248	2050
108	250	2049
109	252	2046
110	255	2043
111	257	2040
112	259	2038
113	261	2034
114	264	2032
115	266	2031
116	268	2028
117	269	2017
118	271	2012
119	273	2007
120	276	2005
121	278	2003
122	280	2000
123	282	1997
124	285	1995
125	287	1992
126	289	1989
127	291	1985
128	293	1980
129	294	1973
130	297	1971
131	298	1966
132	301	1963
133	303	1959
134	305	1954
135	307	1951
136	309	1950
137	311	1947
138	313	1944
139	316	1942
140	318	1939
141	320	1935
142	322	1932
143	324	1929
144	326	1927
145	329	1925
146	331	1922
147	333	1920
148	335	1917
149	337	1915
150	340	1912
151	342	1910
152	344	1905
153	346	1901
154	348	1897
155	349	1893
156	352	1891
157	354	1890
158	357	1888
159	359	1886
160	361	1883
161	363	1881
162	365	1878
163	367	1875
164	369	1871
165	371	1867
166	373	1864
167	375	1861
168	378	1859
169	380	1856
170	382	1853
171	384	1851
172	386	1849
173	389	1846
174	390	1843
175	393	1840
176	395	1837
177	397	1835
178	399	1833
179	401	1831
180	404	1829
181	406	1826
182	408	1823
183	410	1821
184	412	1818
185	414	1815
186	417	1813
187	419	1810
188	421	1808
189	423	1807
190	425	1804
191	428	1802
192	430	1800
193	432	1798
194	435	1796
195	437	1795
196	439	1792
197	442	1790
198	444	1788
199	446	1785
200	448	1783
201	450	1781
202	453	1779
203	455	1775
204	457	1772
205	459	1770
206	461	1768
207	464	1766
208	466	1764
209	468	1762
210	470	1759
211	472	1757
212	474	1753
213	476	1750
214	478	1748
215	481	1745
216	482	1741
217	484	1738
218	486	1736
219	489	1734
220	491	1732
221	493	1729
222	495	1727
223	498	1725
224	500	1722
225	502	1720
226	504	1719
227	507	1717
228	509	1715
229	511	1712
230	513	1710
231	515	1707
232	518	1705
233	520	1703
234	522	1701
235	524	1699
236	527	1696
237	529	1694
238	531	1692
239	533	1690
240	535	1687
241	538	1685
242	540	1682
243	542	1680
244	544	1678
245	546	1676
246	549	1673
247	551	1672
248	553	1669
249	555	1665
250	557	1663
251	559	1660
252	561	1657
253	563	1653
254	565	1652
255	567	1649
256	569	1646
257	571	1643
258	573	1641
259	575	1638
260	577	1635
261	581	1636
262	583	1633
263	585	1631
264	586	1627
265	588	1625
266	591	1622
267	594	1624
268	597	1622
269	599	1620
270	600	1616
271	603	1614
272	605	1611
273	607	1609
274	609	1608
275	612	1606
276	614	1604
277	617	1603
278	619	1601
279	621	1599
280	624	1596
281	626	1595
282	629	1594
283	631	1592
284	633	1590
285	636	1588
286	641	1594
287	644	1593
288	646	1591
289	648	1587
290	650	1584
291	651	1579
292	653	1576
293	655	1574
294	657	1572
295	660	1570
296	662	1569
297	665	1566
298	667	1564
299	669	1563
300	672	1560
301	674	1559
302	676	1556
303	678	1554
304	681	1552
305	683	1549
306	685	1547
307	688	1546
308	690	1544
309	693	1543
310	695	1541
311	697	1538
